 Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Measured,Mixed,Mixed,Mixed,Mixed,Mixed
Frame,Time, X, Y, Z, Type, X, Y, Z, Type, X, Y, Z, Type
245,2.44,0,0,0,,0,0,0,,-1013.677,520.465,-41.047,Measured
246,2.45,0,0,0,,0,0,0,,-1013.747,520.697,-41.158,Measured
247,2.46,0,0,0,,0,0,0,,-1013.728,520.692,-41.166,Measured
248,2.47,0,0,0,,0,0,0,,-1013.726,520.668,-41.189,Measured
249,2.48,0,0,0,,0,0,0,,-1013.704,520.784,-41.228,Measured
250,2.49,0,0,0,,0,0,0,,-1013.564,520.554,-40.836,Measured
251,2.5,0,0,0,,0,0,0,,-1013.568,520.565,-40.896,Measured
252,2.51,0,0,0,,0,0,0,,-1013.722,520.396,-41.227,Measured
253,2.52,0,0,0,,0,0,0,,-1013.607,520.368,-41.08,Measured
254,2.53,0,0,0,,0,0,0,,-1013.679,520.512,-41.233,Measured
255,2.54,0,0,0,,0,0,0,,-1013.457,520.021,-40.537,Measured
256,2.55,0,0,0,,0,0,0,,-1013.69,520.521,-41.241,Measured
257,2.56,0,0,0,,0,0,0,,-1013.68,520.488,-41.255,Measured
258,2.57,0,0,0,,0,0,0,,-1013.689,520.332,-41.477,Measured
259,2.58,0,0,0,,0,0,0,,-1013.687,520.357,-41.481,Measured
260,2.59,0,0,0,,0,0,0,,-1013.709,520.593,-41.237,Measured
261,2.6,0,0,0,,0,0,0,,-1013.62,520.535,-41.297,Measured
262,2.61,0,0,0,,0,0,0,,-1013.686,520.578,-41.254,Measured
263,2.62,0,0,0,,0,0,0,,-1013.677,520.698,-41.163,Measured
264,2.63,0,0,0,,0,0,0,,-1013.649,520.692,-41.118,Measured
265,2.64,0,0,0,,0,0,0,,-1013.68,520.947,-41.321,Measured
266,2.65,0,0,0,,0,0,0,,-1013.642,520.659,-41.153,Measured
267,2.66,0,0,0,,0,0,0,,-1013.62,520.691,-41.114,Measured
